amountraised,category,currencyused,endDate,numbercontributors,startDate,target,title
"9,700",<h1>Memorials &amp; Funerals</h1>,U.S. Dollar,"May 18, 2016 at 07:36AM PTMay 10, 2016",141,"May 10, 2016",of $8.6k goal,EBLA Crimestoppers Reward
825,<h1>Non-profits &amp; Charity</h1>,U.S. Dollar,"Aug 3, 2018",9,"Aug 3, 2018",of $1k goal,Over The Edge for The Greenhouse
"2,000",<h1>Memorials &amp; Funerals</h1>,Australian Dollar,"May 19, 2016 at 12:31AM PTApr 19, 2016",31,"Apr 19, 2016",of $2k goal,Memorial seat - In Memory of Stacee MacInnes
"1,125",<h1>Non-profits &amp; Charity</h1>,U.S. Dollar,"Oct 20, 2018
					
				Oct 20, 2018 at 12:59AM PTSep 4, 2018",13,"Sep 4, 2018",of $1k goal,Over The Edge Muscatine
"1,404",<h1>Memorials &amp; Funerals</h1>,Pound Sterling,"Apr 3, 2016",24,"Apr 3, 2016",of £5k goal,Mac's Miles: SURFC 500 Challenge
700,<h1>Non-profits &amp; Charity</h1>,U.S. Dollar,"Sep 17, 2018",4,"Sep 17, 2018",of $1k goal,Over The Edge for The Greenhouse
275,<h1>Non-profits &amp; Charity</h1>,U.S. Dollar,"Nov 17, 2018
					
				Nov 17, 2018 at 11:59PM PTAug 29, 2018",2,"Aug 29, 2018",of $1k goal,R(a)pelling Stigma:  Go Over the Edge for Recovery
420,<h1>Legal</h1>,Canadian Dollar,"Nov 10, 2016",6,"Nov 10, 2016",of $5k goal,We are people.....
"1,050",<h1>Non-profits &amp; Charity</h1>,U.S. Dollar,"Nov 17, 2018
					
				Nov 17, 2018 at 11:59PM PTAug 23, 2018",23,"Aug 23, 2018",of $1k goal,R(a)pelling Stigma:  Go Over the Edge for Recovery
"16,065",<h1>Legal</h1>,U.S. Dollar,"Jul 18, 2016",41,"Jul 18, 2016",of $150k goal,Self Defense Before Dawn
"1,078",<h1>Non-profits &amp; Charity</h1>,U.S. Dollar,"Oct 28, 2018
					
				Oct 28, 2018 at 12:59AM PTAug 15, 2018",19,"Aug 15, 2018",of $1k goal,Over The Edge for River Valley Regional YMCA
"2,829",<h1>Legal</h1>,U.S. Dollar,"Jul 10, 2015",52,"Jul 10, 2015",of $5k goal,FreeAnons
"5,975",<h1>Non-profits &amp; Charity</h1>,U.S. Dollar,"Sep 18, 2018",12,"Sep 18, 2018",of $1k goal,Over The Edge for The GreenHouse
330,<h1>Legal</h1>,U.S. Dollar,"Mar 6, 2017",8,"Mar 6, 2017",of $20k goal,Help me save my son
"8,280",<h1>Political fundraising</h1>,Canadian Dollar,"Sep 16, 2016",42,"Sep 16, 2016",of $20k goal,Charlie Clark for Mayor of Saskatoon
"1,064",<h1>Legal</h1>,U.S. Dollar,"Dec 3, 2017 at 12:41PM PTMar 13, 2017",34,"Mar 13, 2017",of $3k goal,Help Shannon Pay Her Legal Fees!
"1,600",<h1>Legal</h1>,U.S. Dollar,"Apr 12, 2017",30,"Apr 12, 2017",of $6k goal,Help Us Free Devarius McQueen!
"1,320",<h1>Legal</h1>,U.S. Dollar,"Apr 16, 2017",10,"Apr 16, 2017",of $3.9k goal,Help Bring Todd Ramirez Safely Home to his Family!
"1,181",<h1>Legal</h1>,U.S. Dollar,"May 30, 2015",14,"May 30, 2015",of $2.5k goal,Final Bill in Legal Battle vs. Abuser
"4,230",<h1>Legal</h1>,Australian Dollar,"May 1, 2017 at 01:34PM PTApr 26, 2017",104,"Apr 26, 2017",of $15k goal,"Help me save my sister, and bring her home"
966,<h1>Legal</h1>,U.S. Dollar,"Mar 21, 2017",18,"Mar 21, 2017",of $1k goal,Legal Defense Fund for IfNotNow Protesters
925,<h1>Legal</h1>,U.S. Dollar,"May 2, 2017",11,"May 2, 2017",of $2k goal,Help Jason come home
686,<h1>Non-profits &amp; Charity</h1>,U.S. Dollar,"Nov 9, 2018
					
				Nov 9, 2018 at 11:59PM PTAug 9, 2018",15,"Aug 9, 2018",of $80k goal,Please help me build a school
705,<h1>Non-profits &amp; Charity</h1>,U.S. Dollar,"Oct 12, 2018",33,"Oct 12, 2018",of $3.5k goal,"Millie Has ""Water On The Brain""...."
"17,060",<h1>Non-profits &amp; Charity</h1>,U.S. Dollar,"Feb 13, 2017",181,"Feb 13, 2017",of $20k goal,Jeffrey Has Heart Donation Page
310,<h1>Political fundraising</h1>,U.S. Dollar,"Dec 1, 2014",3,"Dec 1, 2014",of $3k goal,Help defeat the 'WHITE GUERRILLA FAMILY' gang!
"4,320",<h1>Political fundraising</h1>,U.S. Dollar,"Jan 12, 2017 at 08:46AM PTSep 23, 2016",25,"Sep 23, 2016",of $5k goal,Solar Power for Standing Rock Legal #NoDAPL
"1,100",<h1>Political fundraising</h1>,U.S. Dollar,"May 26, 2016",19,"May 26, 2016",of $5k goal,Committee to Elect Amanda Richards
"21,475",<h1>Political fundraising</h1>,Canadian Dollar,"Oct 19, 2016 at 08:24PM PTOct 16, 2016",273,"Oct 16, 2016",of $5k goal,Support Heiltsuk in wake of Seaforth diesel spill
"5,155",<h1>Political fundraising</h1>,U.S. Dollar,"Jun 13, 2016",5,"Jun 13, 2016",of $4k goal,"Charleston, SC - Hillary For Prison"
"1,261",<h1>Political fundraising</h1>,U.S. Dollar,"Nov 29, 2016",33,"Nov 29, 2016",of $1k goal,Fund Native Journalism! #DAPL #StandingRock
252,<h1>Political fundraising</h1>,U.S. Dollar,"Nov 27, 2016",12,"Nov 27, 2016",of $250 goal,Help Phoenix Anti-Fascists obtain an office copier
922,<h1>Political fundraising</h1>,U.S. Dollar,"Nov 10, 2016",26,"Nov 10, 2016",of $1.3k goal,Verbz' legal fund--please help!
"1,400",<h1>Sports &amp; Competitions</h1>,U.S. Dollar,"Apr 26, 2017 at 05:54AM PTSep 16, 2016",20,"Sep 16, 2016",of $5k goal,Support The URI CLUB Baseball Team
575,<h1>Sports &amp; Competitions</h1>,U.S. Dollar,"Oct 2, 2016",11,"Oct 2, 2016",of $500 goal,Homecoming 2016: Reclaim the Crown
137,<h1>Sports &amp; Competitions</h1>,Euro,"Nov 1, 2016",16,"Nov 1, 2016",of €100 goal,Help us pay for transport kite gear to Brasil kids
"1,030",<h1>Sports &amp; Competitions</h1>,U.S. Dollar,"Sep 2, 2016",24,"Sep 2, 2016",of $4k goal,Help Serena get to the World Junior Championships!
250,<h1>Sports &amp; Competitions</h1>,U.S. Dollar,"Aug 5, 2016",5,"Aug 5, 2016",of $1k goal,Please Help Raise Money for UNC Club Softball
160,<h1>Sports &amp; Competitions</h1>,U.S. Dollar,"Sep 16, 2016",5,"Sep 16, 2016",of $250 goal,Josh's Football Live Stream Data Fund
"1,325",<h1>Sports &amp; Competitions</h1>,New Zealand Dollar,"Nov 27, 2016 at 12:50PM PTAug 28, 2016",22,"Aug 28, 2016",of $5k goal,Within Reach
"1,125",<h1>Sports &amp; Competitions</h1>,Canadian Dollar,"Nov 14, 2016 at 10:23AM PTOct 29, 2016",18,"Oct 29, 2016",of $2.2k goal,Please help Nepean HS Field hockey with OFSAA cost
250,<h1>Sports &amp; Competitions</h1>,U.S. Dollar,"Oct 18, 2016",5,"Oct 18, 2016",of $6k goal,Golden Gate Girls at Raid Amazones 2016
"20,225",<h1>Sports &amp; Competitions</h1>,U.S. Dollar,"Sep 6, 2016",73,"Sep 6, 2016",of $25k goal,Please donate $25 toward new Mars Wrestling Mats!
600,<h1>Sports &amp; Competitions</h1>,U.S. Dollar,"Nov 29, 2016 at 02:46PM PTMay 28, 2016",3,"May 28, 2016",of $3k goal,please help Brieanna with  Allstar cheer expenses
165,<h1>Travel</h1>,Pound Sterling,"Feb 17, 2015 at 09:53AM PTJul 24, 2014",3,"Jul 24, 2014",of £10k goal,Team Fun Tukking Tastics Charity Race Across India
460,<h1>Travel</h1>,Canadian Dollar,"Nov 17, 2014 at 12:37PM PTOct 20, 2014",17,"Oct 20, 2014",of $5k goal,The Great Hike - Help Dana Complete His Journey
300,<h1>Travel</h1>,Pound Sterling,"Dec 3, 2013",14,"Dec 3, 2013",of £4.5k goal,"Emma's World Challenge to Madagascar, 2015!"
"4,204",<h1>Travel</h1>,U.S. Dollar,"Nov 16, 2014",56,"Nov 16, 2014",of $4.2k goal,Help US Sail Away on an ALS Cruise
"1,210",<h1>Travel</h1>,U.S. Dollar,"Oct 19, 2014",6,"Oct 19, 2014",of $2k goal,Support Connor's Trip to Paris
500,<h1>Travel</h1>,U.S. Dollar,"Nov 12, 2014",4,"Nov 12, 2014",of $3.5k goal,Help Us Get Our Dream Job with a Major Recod Label
152,<h1>Travel</h1>,U.S. Dollar,"Dec 12, 2014",1,"Dec 12, 2014",of $1.5k goal,Vacation to Texas
"2,090",<h1>Travel</h1>,U.S. Dollar,"Oct 28, 2014",30,"Oct 28, 2014",of $2k goal,Kylie's Trip to Hameln Germany!
495,<h1>Travel</h1>,U.S. Dollar,"May 15, 2014",10,"May 15, 2014",of $1.2k goal,Help Emily Run Disney's Coast-to-Coast in 2015!!!
102,<h1>Travel</h1>,Pound Sterling,"Dec 29, 2014",3,"Dec 29, 2014",of £10k goal,Ellis's Everest Dream 2015
340,<h1>Veterans &amp; Heroes</h1>,U.S. Dollar,"May 2, 2014",3,"May 2, 2014",of $1.3k goal,help me with moving expenses
400,<h1>Veterans &amp; Heroes</h1>,U.S. Dollar,"May 27, 2014 at 07:47PM PTMay 15, 2014",7,"May 15, 2014",of $400 goal,American Family of Five... homeless
"1,645",<h1>Veterans &amp; Heroes</h1>,U.S. Dollar,"Feb 26, 2014",28,"Feb 26, 2014",of $7.5k goal,Iron & Ash Crew
250,<h1>Veterans &amp; Heroes</h1>,U.S. Dollar,"May 27, 2014",4,"May 27, 2014",of $3k goal,Help with trailer purchase
140,<h1>Veterans &amp; Heroes</h1>,U.S. Dollar,"Jul 14, 2014 at 05:57AM PTJun 11, 2014",4,"Jun 11, 2014",of $3k goal,Asking for help
"1,140",<h1>Veterans &amp; Heroes</h1>,Euro,"Apr 20, 2013",38,"Apr 20, 2013",of €15k goal,Cole's Bayonet Charge Memorial Monument
138,<h1>Veterans &amp; Heroes</h1>,U.S. Dollar,"Sep 19, 2014 at 09:30AM PTJun 6, 2014",5,"Jun 6, 2014",of $1.4k goal,3rd BN 4th MAR Lima Co Reunion 2015 Alumni Shirts
125,<h1>Veterans &amp; Heroes</h1>,U.S. Dollar,"Jun 9, 2014",4,"Jun 9, 2014",of $300 goal,Raising money for Operation Beat the Heat..
675,<h1>Veterans &amp; Heroes</h1>,U.S. Dollar,"Jun 27, 2014",9,"Jun 27, 2014",of $500 goal,Please help bring Dad home!
"3,090",<h1>Alumni &amp; Clubs</h1>,U.S. Dollar,"Aug 18, 2013",25,"Aug 18, 2013",of $7k goal,Tomales High School Class of 1986 - 1991 Reunion
"3,300",<h1>Alumni &amp; Clubs</h1>,U.S. Dollar,"Nov 19, 2013 at 10:43PM PTSep 8, 2013",86,"Sep 8, 2013",of $2.5k goal,Meet & Greet Bravo Co. 13.11.08/No Marine Alone
120,<h1>Alumni &amp; Clubs</h1>,U.S. Dollar,"Dec 10, 2013 at 08:31AM PTNov 28, 2013",5,"Nov 28, 2013",of $60 goal,DXN Beta Chapter Holiday Party
485,<h1>Alumni &amp; Clubs</h1>,U.S. Dollar,"Apr 7, 2014 at 09:21AM PTSep 16, 2013",14,"Sep 16, 2013",of $2k goal,MGHS PSA NY Chapter-CHANGE FOR A CAUSE
"2,920",<h1>Alumni &amp; Clubs</h1>,U.S. Dollar,"Jul 17, 2013",14,"Jul 17, 2013",of $4k goal,Ken Morgan Clark needs our help!
"7,405","<h1>Animals, Pets &amp; Humane</h1>",Canadian Dollar,"May 20, 2018 at 07:39AM PTApr 17, 2018",53,"Apr 17, 2018",of $6.3k goal,The Amazing Raise 2018: Team Barn
"8,090","<h1>Animals, Pets &amp; Humane</h1>",Canadian Dollar,"May 20, 2018 at 07:39AM PTApr 17, 2018",51,"Apr 17, 2018",of $6.3k goal,The Amazing Raise 2018: Team MP Room
"32,615","<h1>Animals, Pets &amp; Humane</h1>",Canadian Dollar,"May 20, 2018 at 07:39AM PTApr 17, 2018",237,"Apr 17, 2018",of $25k goal,The Amazing Raise 2018: SAINTS Rescue
"8,375","<h1>Animals, Pets &amp; Humane</h1>",Canadian Dollar,"May 20, 2018 at 07:39AM PTApr 17, 2018",57,"Apr 17, 2018",of $6.3k goal,The Amazing Raise 2018: Team House
146,"<h1>Animals, Pets &amp; Humane</h1>",Euro,"Jun 5, 2018 at 10:21AM PTMay 3, 2018",7,"May 3, 2018",of €2k goal,Dalida Kozlic's Rescued Animals
289,"<h1>Animals, Pets &amp; Humane</h1>",Canadian Dollar,"May 20, 2018",11,"May 20, 2018",of $225 goal,Puppy Bianka was shot twice and left to DIE
230,"<h1>Animals, Pets &amp; Humane</h1>",U.S. Dollar,"Jun 21, 2018 at 08:37AM PTMay 13, 2018",5,"May 13, 2018",of $931 goal,Rescued Stray FIV+ Needs Help Now
300,"<h1>Animals, Pets &amp; Humane</h1>",Euro,"Jun 10, 2018 at 12:50PM PTMay 18, 2018",21,"May 18, 2018",of €300 goal,HElP US TO HELP LITTLE KITTEN STAY ALIVE
910,"<h1>Animals, Pets &amp; Humane</h1>",Canadian Dollar,"May 1, 2018",22,"May 1, 2018",of $1k goal,Please help Joyke come to his new life in Canada!
715,"<h1>Animals, Pets &amp; Humane</h1>",U.S. Dollar,"Apr 26, 2018",17,"Apr 26, 2018",of $1.2k goal,Please Help Safe Harbor vet 3 abandoned dogs
190,"<h1>Animals, Pets &amp; Humane</h1>",U.S. Dollar,"Jul 1, 2018 at 12:48PM PTMay 29, 2018",4,"May 29, 2018",of $315 goal,Help to cover monthly food for 12 rescued dogs!
"1,605","<h1>Arts, Creative &amp; Fashion</h1>",U.S. Dollar,"Jul 14, 2016",32,"Jul 14, 2016",of $1.8k goal,Get Ya Boy Through His Last Year of School
970,"<h1>Arts, Creative &amp; Fashion</h1>",U.S. Dollar,"Sep 24, 2014",10,"Sep 24, 2014",of $25k goal,Christian Performing Arts Center Scholarship Fund
"3,083","<h1>Arts, Creative &amp; Fashion</h1>",U.S. Dollar,"Apr 4, 2015",85,"Apr 4, 2015",of $5k goal,"Please help us finish our film, ""Mandarava""."
100,"<h1>Arts, Creative &amp; Fashion</h1>",U.S. Dollar,"May 23, 2017",2,"May 23, 2017",of $25k goal,#lovebeatscancer - cancer fundriser May 30th 2017
450,"<h1>Arts, Creative &amp; Fashion</h1>",Canadian Dollar,"Oct 26, 2018
					
				Oct 26, 2018 at 12:59AM PTMar 17, 2017",7,"Mar 17, 2017",of $4.2k goal,Can/USA Early Music Tour with Benjamin Simao 2018
